split,target_region_id,variable,n_samples,analysis_rmse_latw,increment_rmse_latw,analysis_rmse,increment_rmse,analysis_skill_vs_forecast,valid_pixel_fraction_mean
source_val,US-R1,rootzone,40488,0.0013356765892278196,0.0013356765892357137,0.0008893547897345108,0.000889354789736235,0.0,0.210113525390625
source_val,US-R1,surface,40488,0.009080808590134534,0.009080808587693768,0.007930472412560846,0.007930472411040284,0.0,0.210113525390625
source_val,US-R2,rootzone,40096,0.0009693908995421895,0.0009693908995421895,0.0006601774860558408,0.0006601774860558408,0.0,0.200408935546875
source_val,US-R2,surface,40096,0.007502426098410245,0.007502426096000019,0.0063873062477349625,0.0063873062464664156,0.0,0.200408935546875
source_val,US-R3,rootzone,41342,0.0013459774027869212,0.0013459774027941686,0.0009499152434644009,0.0009499152434660468,0.0,0.2212158203125
source_val,US-R3,surface,41342,0.009619161913553444,0.00961916191031532,0.008610727996925058,0.008610727994796445,0.0,0.2212158203125
source_val,US-R4,rootzone,40516,0.0012703592876948222,0.001270359287701611,0.0007901991445753978,0.0007901991445767788,0.0,0.18826904296874994
source_val,US-R4,surface,40516,0.008529495975020151,0.008529495971484542,0.007303122091138659,0.007303122089109809,0.0,0.18826904296874994
source_val,US-R5,rootzone,38038,0.001492664518753208,0.0014926645187604485,0.0009490128264375738,0.0009490128264391204,0.0,0.16656494140625
source_val,US-R5,surface,38038,0.010211448736849489,0.010211448732992139,0.008778034247623141,0.008778034245311702,0.0,0.16656494140625
source_val,US-R6,rootzone,42350,0.001299816532535594,0.0012998165325415836,0.0008728069486152303,0.0008728069486164983,0.0,0.20086669921875
source_val,US-R6,surface,42350,0.008913073197335574,0.00891307319483306,0.007839743701155207,0.007839743699559372,0.0,0.20086669921875
target_query,US-R1,rootzone,47026,0.0007839434474777276,0.0007839434474777276,0.0002544305418985183,0.0002544305418985183,0.0,0.027374267578125
target_query,US-R1,surface,47026,0.006832760396946582,0.00683276039399605,0.003280917839184404,0.0032809178383890227,0.0,0.027374267578125
target_query,US-R2,rootzone,47026,0.002256614613626399,0.002256614613626399,0.0007844965639977715,0.0007844965639977715,0.0,0.037078857421875
target_query,US-R2,surface,47026,0.011995515638564744,0.011995515634684118,0.006404278215956302,0.006404278214336684,0.0,0.037078857421875
target_query,US-R3,rootzone,47026,0.0005133656262541148,0.0005133656262541148,0.00021713360237879671,0.00021713360237879671,0.0,0.016271972656249998
target_query,US-R3,surface,47026,0.005270252090218111,0.005270252088792826,0.0026469101400305997,0.002646910139641829,0.0,0.016271972656249998
target_query,US-R4,rootzone,47026,0.0009659194584742107,0.0009659194584742107,0.0004236295877154253,0.0004236295877154253,0.0,0.04921874999999999
target_query,US-R4,surface,47026,0.00781262559460783,0.00781262559406624,0.003996977189596347,0.003996977189402964,0.0,0.04921874999999999
target_query,US-R5,rootzone,47026,0.0005012476770395181,0.0005012476770395181,0.0002819205449046303,0.0002819205449046303,0.0,0.0709228515625
target_query,US-R5,surface,47026,0.004186076946274196,0.004186076945848213,0.002566246485143838,0.002566246484984287,0.0,0.0709228515625
target_query,US-R6,rootzone,47026,0.0004868083581395495,0.0004868083581395495,0.00017533872234653839,0.00017533872234653839,0.0,0.03662109375
target_query,US-R6,surface,47026,0.0056924115723267586,0.005692411570426614,0.0023130969436945576,0.002313096943245457,0.0,0.03662109375
