label,n,mean,std,min,max,p01,p05,p50,p95,p99,abs_mean,abs_p95,abs_p99
source_train_true_surface,17212500,-0.00031489,0.00874600,-0.23906821,0.29650426,-0.03136207,-0.01043946,0.00000000,0.00722766,0.02816358,0.00281692,0.01725580,0.04048282
source_train_true_rootzone,17212500,0.00002917,0.00124260,-0.06138676,0.14766414,-0.00247440,-0.00077838,0.00000000,0.00063670,0.00336596,0.00028214,0.00145678,0.00436205
source_train_pred_surface,17212500,-0.00017755,0.00835434,-0.17724499,0.24928291,-0.02901836,-0.00992644,0.00003058,0.00757582,0.02813132,0.00288020,0.01680142,0.03844810
source_train_pred_rootzone,17212500,0.00003189,0.00095782,-0.03954573,0.05861336,-0.00225408,-0.00086123,0.00003573,0.00063086,0.00283994,0.00033897,0.00136821,0.00360791
source_val_true_surface,99557100,-0.00054021,0.00909814,-0.19456132,0.32896972,-0.03135861,-0.01226740,0.00000000,0.00672475,0.02858990,0.00301485,0.01806980,0.04063943
source_val_true_rootzone,99557100,0.00000997,0.00132811,-0.05252182,0.25941199,-0.00240386,-0.00089055,0.00000000,0.00056905,0.00314534,0.00028742,0.00143775,0.00408113
source_val_pred_surface,99557100,-0.00039396,0.00848308,-0.12412494,0.27216619,-0.02880207,-0.01158992,0.00003073,0.00710672,0.02837120,0.00304321,0.01744198,0.03801964
source_val_pred_rootzone,99557100,0.00000698,0.00097758,-0.01672234,0.05543359,-0.00224157,-0.00097154,0.00002666,0.00058098,0.00267962,0.00034750,0.00138578,0.00349122
target_query_true_surface,4485000,-0.00025762,0.00660542,-0.09145453,0.29601794,-0.01872332,-0.00792092,0.00000000,0.00239865,0.02215844,0.00184552,0.01136929,0.02758167
target_query_true_rootzone,4485000,0.00001594,0.00087093,-0.02082266,0.06991780,-0.00108182,-0.00043266,0.00000000,0.00015862,0.00166076,0.00013402,0.00066289,0.00192559
target_query_pred_surface,4485000,-0.00060176,0.00894351,-0.11131300,0.23766954,-0.03426604,-0.01461617,0.00010417,0.00675960,0.02554536,0.00322568,0.01951183,0.04050761
target_query_pred_rootzone,4485000,0.00003683,0.00086140,-0.01205884,0.05140501,-0.00213623,-0.00090070,0.00005670,0.00052354,0.00201555,0.00029943,0.00124787,0.00293034
